Proc_krawedzi;Dijkstra;BellmanFord
0.828283;9.26073e+06;8.5637e+08
0.833333;9.08661e+06;8.47865e+08
0.838384;9.22724e+06;8.64208e+08
0.843434;9.00497e+06;8.82474e+08
0.848485;8.88916e+06;8.76214e+08
0.853535;9.18577e+06;8.94286e+08
0.858586;9.29416e+06;9.02173e+08
0.863636;9.77925e+06;9.33558e+08
0.868687;9.51003e+06;9.37786e+08
0.873737;1.01371e+07;9.82176e+08
0.878788;9.7215e+06;9.565e+08
0.883838;9.81704e+06;1.00151e+09
0.888889;1.02066e+07;9.40821e+08
0.893939;9.11931e+06;9.20646e+08
0.89899;1.04336e+07;1.01576e+09
0.90404;1.04826e+07;9.98231e+08
0.909091;1.04306e+07;9.81834e+08
0.914141;1.04117e+07;1.00388e+09
0.919192;1.08815e+07;1.0068e+09
0.924242;1.05446e+07;1.03148e+09
0.929293;1.05017e+07;1.03168e+09
0.934343;1.07456e+07;1.04413e+09
0.939394;1.10996e+07;1.06596e+09
0.944444;1.11146e+07;1.0614e+09
0.949495;1.14157e+07;1.13898e+09
0.954545;1.18355e+07;1.1241e+09
0.959596;1.21615e+07;1.20361e+09
0.964646;1.21391e+07;1.14874e+09
0.969697;1.24215e+07;1.16142e+09
0.974747;1.23622e+07;1.18097e+09
0.979798;1.30397e+07;1.23581e+09
0.984848;1.28482e+07;1.24841e+09
0.989899;1.33539e+07;1.29185e+09
0.994949;1.2937e+07;1.23353e+09
1;1.30614e+07;1.25366e+09
